,generation,best_fitness,worst_fitness,feasible,average_fitness,std_fitness
140,140,4979.598081854299,57431262.36750275,True,-3494474.9459075583,10991855.378672415
141,141,4979.598081854299,424833054.38070256,True,-11316158.973394508,53896053.13464814
142,142,4979.598081854299,53701752.88606185,True,-1105075.9060671097,5980871.843510088
143,143,4979.598081854299,142646993.27088815,True,-5610134.778599853,21584477.10754291
144,144,4979.598081854299,179341276.4181924,True,-6773005.49782428,25141211.03185606
145,145,4979.598081854299,37106921.71642714,True,-1885782.955115709,6317410.218652304
146,146,4979.585936647359,87236909.45177841,True,-4354328.776683192,15356450.782496857
147,147,4979.585936647359,94218053.30604537,True,-3205471.564391419,12734712.33721752
148,148,4979.585936647359,70379669.58800085,True,-5772053.541323061,15252857.245355887
149,149,4979.585936647359,109839196.7279385,True,-2941534.4210834918,13274573.514386753
150,150,4979.585936647359,104073568.20548043,True,-5527128.726893637,18335763.766541656
151,151,4914.954299024738,77186403.12295051,True,-4614785.963880847,14938564.271024326
152,152,4914.954299024738,86162866.32860549,True,-3111437.3207017006,12636535.708619328
153,153,4914.954299024738,21698461.22975351,True,-863570.2240066968,3412496.206140918
154,154,4914.954299024738,215688315.42939755,True,-3832231.0384365874,23155081.033649135
155,155,4914.954299024738,162379393.4617655,True,-6962163.418454096,28405685.626023687
156,156,4914.954299024738,125388187.72627218,True,-3329540.160024701,15660213.757399246
157,157,4914.954299024738,148454269.58709216,True,-5284257.498399495,21905512.84765521
158,158,4914.896876082296,49482429.5256129,True,-2440571.4723726884,7813685.333952035
159,159,4914.896876082296,195979352.0618086,True,-5222126.118929011,22766629.092043463
160,160,4914.896876082296,104352328.7691744,True,-3915036.833678816,15964194.091402726
161,161,4914.896876082296,185020557.8278542,True,-4841699.470956141,26140515.994430434
162,162,4914.896876082296,104252318.49514864,True,-3781386.113746908,16751937.968099741
163,163,4914.896876082296,106252276.75773335,True,-3543629.3172874986,13666526.824785102
164,164,4914.896876082296,33367100.708610803,True,-1303107.6569942948,5335936.683494631
165,165,4914.896876082296,81952510.54832026,True,-3630281.509174204,14720365.040530713
166,166,4914.896876082296,79441043.03974241,True,-4096120.7300024913,14893947.824322222
167,167,4914.896876082296,15162347.552953538,True,-619905.8349319684,2497750.90118655
168,168,4914.896876082296,30160677.22635771,True,-1393757.4549297977,5259319.432391461
169,169,4914.896876082296,71460666.5624363,True,-2275093.946325642,10858534.391552294
